"ID","Carrier","FlightNo","Destination","DepartTime","Day","Month","FlightLength","Delay","Delayed30"
88,"UA",403,"DEN","4-8am","Wed","May",281,-1,"No"
90,"UA",409,"DEN","4-8pm","Wed","May",279,10,"No"
92,"UA",667,"ORD","4-8am","Wed","May",143,-6,"No"
93,"UA",669,"ORD","4-8am","Wed","May",150,-5,"No"
100,"UA",687,"ORD","4-8pm","Wed","May",160,73,"Yes"
101,"UA",689,"ORD","4-8pm","Wed","May",160,98,"Yes"
102,"UA",691,"ORD","4-8pm","Wed","May",160,118,"Yes"
103,"UA",693,"ORD","4-8pm","Wed","May",160,0,"No"
107,"UA",847,"IAD","4-8pm","Wed","May",92,100,"Yes"
108,"UA",403,"DEN","4-8am","Thu","May",281,-4,"No"
110,"UA",409,"DEN","4-8pm","Thu","May",279,20,"No"
112,"UA",667,"ORD","4-8am","Thu","May",143,-4,"No"
113,"UA",669,"ORD","4-8am","Thu","May",150,-3,"No"
120,"UA",687,"ORD","4-8pm","Thu","May",160,9,"No"
121,"UA",689,"ORD","4-8pm","Thu","May",160,140,"Yes"
122,"UA",691,"ORD","4-8pm","Thu","May",160,105,"Yes"
123,"UA",693,"ORD","4-8pm","Thu","May",160,115,"Yes"
127,"UA",847,"IAD","4-8pm","Thu","May",92,83,"Yes"
128,"UA",403,"DEN","4-8am","Fri","May",281,-4,"No"
130,"UA",409,"DEN","4-8pm","Fri","May",279,-2,"No"
132,"UA",667,"ORD","4-8am","Fri","May",143,-10,"No"
133,"UA",669,"ORD","4-8am","Fri","May",150,-2,"No"
140,"UA",687,"ORD","4-8pm","Fri","May",160,-5,"No"
141,"UA",689,"ORD","4-8pm","Fri","May",160,19,"No"
142,"UA",691,"ORD","4-8pm","Fri","May",160,-2,"No"
143,"UA",693,"ORD","4-8pm","Fri","May",160,-9,"No"
147,"UA",847,"IAD","4-8pm","Fri","May",92,14,"No"
148,"UA",403,"DEN","4-8am","Sat","May",280,-5,"No"
151,"UA",669,"ORD","4-8am","Sat","May",160,-1,"No"
155,"UA",689,"ORD","4-8pm","Sat","May",160,-6,"No"
156,"UA",691,"ORD","4-8pm","Sat","May",158,-4,"No"
159,"UA",847,"IAD","4-8pm","Sat","May",68,-7,"No"
160,"UA",403,"DEN","4-8am","Sun","May",281,-4,"No"
162,"UA",409,"DEN","4-8pm","Sun","May",279,-7,"No"
164,"UA",669,"ORD","4-8am","Sun","May",160,-16,"No"
171,"UA",687,"ORD","4-8pm","Sun","May",160,-5,"No"
172,"UA",689,"ORD","4-8pm","Sun","May",160,-10,"No"
173,"UA",691,"ORD","4-8pm","Sun","May",160,2,"No"
174,"UA",693,"ORD","4-8pm","Sun","May",160,20,"No"
176,"UA",847,"IAD","4-8pm","Sun","May",92,24,"No"
177,"UA",403,"DEN","4-8am","Mon","May",281,-4,"No"
179,"UA",409,"DEN","4-8pm","Mon","May",279,1,"No"
181,"UA",667,"ORD","4-8am","Mon","May",143,-3,"No"
182,"UA",669,"ORD","4-8am","Mon","May",150,-5,"No"
189,"UA",687,"ORD","4-8pm","Mon","May",160,-11,"No"
190,"UA",689,"ORD","4-8pm","Mon","May",160,-10,"No"
191,"UA",691,"ORD","4-8pm","Mon","May",160,9,"No"
192,"UA",693,"ORD","4-8pm","Mon","May",160,21,"No"
196,"UA",847,"IAD","4-8pm","Mon","May",92,-4,"No"
197,"UA",403,"DEN","4-8am","Tue","May",281,-1,"No"
199,"UA",409,"DEN","4-8pm","Tue","May",279,1,"No"
201,"UA",667,"ORD","4-8am","Tue","May",143,-7,"No"
202,"UA",669,"ORD","4-8am","Tue","May",150,-9,"No"
208,"UA",689,"ORD","4-8pm","Tue","May",160,-3,"No"
209,"UA",691,"ORD","4-8pm","Tue","May",160,-9,"No"
210,"UA",693,"ORD","4-8pm","Tue","May",160,-3,"No"
214,"UA",847,"IAD","4-8pm","Tue","May",92,-7,"No"
215,"UA",403,"DEN","4-8am","Wed","May",281,-5,"No"
217,"UA",409,"DEN","4-8pm","Wed","May",279,1,"No"
219,"UA",667,"ORD","4-8am","Wed","May",143,-9,"No"
220,"UA",669,"ORD","4-8am","Wed","May",150,-9,"No"
227,"UA",687,"ORD","4-8pm","Wed","May",160,24,"No"
228,"UA",689,"ORD","4-8pm","Wed","May",160,37,"Yes"
229,"UA",691,"ORD","4-8pm","Wed","May",160,20,"No"
230,"UA",693,"ORD","4-8pm","Wed","May",160,28,"No"
234,"UA",847,"IAD","4-8pm","Wed","May",92,9,"No"
235,"UA",403,"DEN","4-8am","Thu","May",281,-3,"No"
237,"UA",409,"DEN","4-8pm","Thu","May",279,7,"No"
239,"UA",667,"ORD","4-8am","Thu","May",143,0,"No"
240,"UA",669,"ORD","4-8am","Thu","May",150,-5,"No"
247,"UA",687,"ORD","4-8pm","Thu","May",160,0,"No"
248,"UA",689,"ORD","4-8pm","Thu","May",160,132,"Yes"
249,"UA",691,"ORD","4-8pm","Thu","May",160,83,"Yes"
250,"UA",693,"ORD","4-8pm","Thu","May",160,118,"Yes"
254,"UA",847,"IAD","4-8pm","Thu","May",92,85,"Yes"
255,"UA",403,"DEN","4-8am","Fri","May",281,2,"No"
257,"UA",409,"DEN","4-8pm","Fri","May",279,15,"No"
259,"UA",667,"ORD","4-8am","Fri","May",143,-2,"No"
260,"UA",669,"ORD","4-8am","Fri","May",150,-2,"No"
267,"UA",687,"ORD","4-8pm","Fri","May",160,0,"No"
268,"UA",689,"ORD","4-8pm","Fri","May",160,100,"Yes"
269,"UA",691,"ORD","4-8pm","Fri","May",160,80,"Yes"
270,"UA",693,"ORD","4-8pm","Fri","May",160,91,"Yes"
274,"UA",847,"IAD","4-8pm","Fri","May",92,21,"No"
275,"UA",403,"DEN","4-8am","Sat","May",280,3,"No"
278,"UA",669,"ORD","4-8am","Sat","May",160,-5,"No"
282,"UA",689,"ORD","4-8pm","Sat","May",160,-3,"No"
285,"UA",847,"IAD","4-8pm","Sat","May",68,4,"No"
286,"UA",403,"DEN","4-8am","Sun","May",281,-1,"No"
288,"UA",409,"DEN","4-8pm","Sun","May",279,-2,"No"
290,"UA",669,"ORD","4-8am","Sun","May",160,-3,"No"
297,"UA",687,"ORD","4-8pm","Sun","May",160,-9,"No"
298,"UA",689,"ORD","4-8pm","Sun","May",160,-2,"No"
299,"UA",691,"ORD","4-8pm","Sun","May",160,-10,"No"
300,"UA",693,"ORD","4-8pm","Sun","May",160,25,"No"
302,"UA",847,"IAD","4-8pm","Sun","May",92,-1,"No"
303,"UA",403,"DEN","4-8am","Mon","May",281,2,"No"
305,"UA",409,"DEN","4-8pm","Mon","May",279,-3,"No"
307,"UA",667,"ORD","4-8am","Mon","May",143,-3,"No"
308,"UA",669,"ORD","4-8am","Mon","May",150,-2,"No"
315,"UA",687,"ORD","4-8pm","Mon","May",160,-6,"No"
316,"UA",689,"ORD","4-8pm","Mon","May",163,14,"No"
317,"UA",693,"ORD","4-8pm","Mon","May",160,-7,"No"
321,"UA",847,"IAD","4-8pm","Mon","May",92,-6,"No"
322,"UA",403,"DEN","4-8am","Tue","May",281,-2,"No"
324,"UA",409,"DEN","4-8pm","Tue","May",279,2,"No"
326,"UA",667,"ORD","4-8am","Tue","May",143,1,"No"
327,"UA",669,"ORD","4-8am","Tue","May",150,138,"Yes"
333,"UA",689,"ORD","4-8pm","Tue","May",160,-7,"No"
334,"UA",691,"ORD","4-8pm","Tue","May",160,-5,"No"
335,"UA",693,"ORD","4-8pm","Tue","May",160,-2,"No"
339,"UA",847,"IAD","4-8pm","Tue","May",92,-7,"No"
340,"UA",403,"DEN","4-8am","Wed","May",281,1,"No"
342,"UA",409,"DEN","4-8pm","Wed","May",279,-4,"No"
344,"UA",667,"ORD","4-8am","Wed","May",143,-7,"No"
345,"UA",669,"ORD","4-8am","Wed","May",150,3,"No"
352,"UA",687,"ORD","4-8pm","Wed","May",160,-5,"No"
353,"UA",689,"ORD","4-8pm","Wed","May",160,-2,"No"
354,"UA",691,"ORD","4-8pm","Wed","May",160,-5,"No"
355,"UA",693,"ORD","4-8pm","Wed","May",160,-2,"No"
359,"UA",847,"IAD","4-8pm","Wed","May",92,10,"No"
360,"UA",403,"DEN","4-8am","Thu","May",281,-3,"No"
362,"UA",409,"DEN","4-8pm","Thu","May",279,-2,"No"
364,"UA",667,"ORD","4-8am","Thu","May",143,-6,"No"
365,"UA",669,"ORD","4-8am","Thu","May",150,-4,"No"
372,"UA",687,"ORD","4-8pm","Thu","May",160,-6,"No"
373,"UA",689,"ORD","4-8pm","Thu","May",160,8,"No"
374,"UA",691,"ORD","4-8pm","Thu","May",160,-8,"No"
375,"UA",693,"ORD","4-8pm","Thu","May",160,-1,"No"
379,"UA",847,"IAD","4-8pm","Thu","May",92,17,"No"
380,"UA",403,"DEN","4-8am","Fri","May",281,0,"No"
382,"UA",409,"DEN","4-8pm","Fri","May",279,-1,"No"
384,"UA",667,"ORD","4-8am","Fri","May",143,-4,"No"
385,"UA",669,"ORD","4-8am","Fri","May",150,-1,"No"
392,"UA",687,"ORD","4-8pm","Fri","May",160,-5,"No"
393,"UA",689,"ORD","4-8pm","Fri","May",160,7,"No"
394,"UA",691,"ORD","4-8pm","Fri","May",160,0,"No"
395,"UA",693,"ORD","4-8pm","Fri","May",160,-7,"No"
399,"UA",847,"IAD","4-8pm","Fri","May",92,11,"No"
400,"UA",403,"DEN","4-8am","Sat","May",280,-5,"No"
408,"UA",689,"ORD","4-8pm","Sat","May",160,-11,"No"
410,"UA",835,"ORD","4-8am","Sat","May",160,-3,"No"
411,"UA",403,"DEN","4-8am","Sun","May",284,-6,"No"
413,"UA",669,"ORD","4-8am","Sun","May",160,-4,"No"
416,"UA",689,"ORD","4-8pm","Sun","May",160,2,"No"
419,"UA",403,"DEN","4-8am","Mon","May",281,-8,"No"
421,"UA",409,"DEN","4-8pm","Mon","May",279,64,"Yes"
423,"UA",667,"ORD","4-8am","Mon","May",143,-6,"No"
424,"UA",669,"ORD","4-8am","Mon","May",150,-4,"No"
431,"UA",687,"ORD","4-8pm","Mon","May",160,-12,"No"
432,"UA",689,"ORD","4-8pm","Mon","May",160,-2,"No"
433,"UA",691,"ORD","4-8pm","Mon","May",160,-2,"No"
434,"UA",693,"ORD","4-8pm","Mon","May",160,17,"No"
437,"UA",847,"IAD","4-8pm","Mon","May",92,2,"No"
438,"UA",403,"DEN","4-8am","Tue","May",281,-5,"No"
440,"UA",409,"DEN","4-8pm","Tue","May",279,5,"No"
442,"UA",667,"ORD","4-8am","Tue","May",143,-2,"No"
443,"UA",669,"ORD","4-8am","Tue","May",150,-8,"No"
450,"UA",689,"ORD","4-8pm","Tue","May",160,29,"No"
451,"UA",691,"ORD","4-8pm","Tue","May",160,1,"No"
452,"UA",693,"ORD","4-8pm","Tue","May",160,0,"No"
456,"UA",847,"IAD","4-8pm","Tue","May",92,22,"No"
457,"UA",403,"DEN","4-8am","Wed","May",281,-6,"No"
459,"UA",409,"DEN","4-8pm","Wed","May",279,17,"No"
461,"UA",667,"ORD","4-8am","Wed","May",143,-8,"No"
462,"UA",669,"ORD","4-8am","Wed","May",150,-5,"No"
469,"UA",687,"ORD","4-8pm","Wed","May",160,0,"No"
470,"UA",689,"ORD","4-8pm","Wed","May",160,38,"Yes"
471,"UA",691,"ORD","4-8pm","Wed","May",160,0,"No"
472,"UA",693,"ORD","4-8pm","Wed","May",160,11,"No"
476,"UA",847,"IAD","4-8pm","Wed","May",92,31,"Yes"
477,"UA",403,"DEN","4-8am","Thu","May",281,-4,"No"
479,"UA",409,"DEN","4-8pm","Thu","May",279,59,"Yes"
481,"UA",667,"ORD","4-8am","Thu","May",143,-7,"No"
482,"UA",669,"ORD","4-8am","Thu","May",150,-5,"No"
489,"UA",687,"ORD","4-8pm","Thu","May",160,182,"Yes"
490,"UA",689,"ORD","4-8pm","Thu","May",160,142,"Yes"
491,"UA",691,"ORD","4-8pm","Thu","May",160,228,"Yes"
492,"UA",693,"ORD","4-8pm","Thu","May",160,0,"No"
496,"UA",847,"IAD","4-8pm","Thu","May",92,53,"Yes"
497,"UA",403,"DEN","4-8am","Fri","May",281,5,"No"
499,"UA",409,"DEN","4-8pm","Fri","May",279,26,"No"
501,"UA",667,"ORD","4-8am","Fri","May",143,59,"Yes"
502,"UA",669,"ORD","4-8am","Fri","May",150,-4,"No"
509,"UA",687,"ORD","4-8pm","Fri","May",160,99,"Yes"
510,"UA",689,"ORD","4-8pm","Fri","May",160,68,"Yes"
511,"UA",691,"ORD","4-8pm","Fri","May",160,140,"Yes"
512,"UA",693,"ORD","4-8pm","Fri","May",160,85,"Yes"
516,"UA",847,"IAD","4-8pm","Fri","May",92,38,"Yes"
517,"UA",403,"DEN","4-8am","Sat","May",280,8,"No"
520,"UA",669,"ORD","4-8am","Sat","May",160,-1,"No"
524,"UA",689,"ORD","4-8pm","Sat","May",160,-2,"No"
527,"UA",847,"IAD","4-8pm","Sat","May",68,-4,"No"
528,"UA",403,"DEN","4-8am","Sun","May",281,-1,"No"
530,"UA",409,"DEN","4-8pm","Sun","May",279,19,"No"
532,"UA",669,"ORD","4-8am","Sun","May",160,20,"No"
539,"UA",687,"ORD","4-8pm","Sun","May",160,-5,"No"
540,"UA",689,"ORD","4-8pm","Sun","May",160,-5,"No"
541,"UA",691,"ORD","4-8pm","Sun","May",160,-8,"No"
542,"UA",693,"ORD","4-8pm","Sun","May",160,-6,"No"
544,"UA",847,"IAD","4-8pm","Sun","May",92,-9,"No"
545,"AA",301,"ORD","4-8am","Fri","May",140,-3,"No"
546,"AA",303,"ORD","4-8am","Fri","May",145,-5,"No"
547,"AA",305,"ORD","4-8am","Fri","May",145,0,"No"
557,"AA",341,"ORD","4-8pm","Fri","May",160,79,"Yes"
558,"AA",345,"ORD","4-8pm","Fri","May",160,65,"Yes"
559,"AA",347,"ORD","4-8pm","Fri","May",155,111,"Yes"
560,"AA",363,"ORD","4-8pm","Fri","May",155,116,"Yes"
562,"AA",413,"MIA","4-8am","Fri","May",185,-5,"No"
565,"AA",701,"DFW","4-8am","Fri","May",225,47,"Yes"
566,"AA",707,"DFW","4-8am","Fri","May",230,-2,"No"
567,"AA",709,"DFW","4-8am","Fri","May",235,-3,"No"
577,"AA",763,"DFW","4-8pm","Fri","May",250,55,"Yes"
578,"AA",785,"DFW","4-8pm","Fri","May",240,-1,"No"
579,"AA",787,"DFW","4-8pm","Fri","May",240,84,"Yes"
582,"AA",1551,"BNA","4-8pm","Fri","May",150,-3,"No"
583,"AA",1559,"MIA","4-8pm","Fri","May",195,73,"Yes"
584,"AA",1685,"MIA","4-8am","Fri","May",175,-2,"No"
589,"AA",2011,"MIA","4-8pm","Fri","May",185,70,"Yes"
593,"AA",2223,"STL","4-8pm","Fri","May",175,-5,"No"
594,"AA",2255,"MIA","4-8am","Fri","May",175,-3,"No"
595,"AA",301,"ORD","4-8am","Sat","May",140,-7,"No"
596,"AA",303,"ORD","4-8am","Sat","May",145,-9,"No"
597,"AA",305,"ORD","4-8am","Sat","May",145,-7,"No"
604,"AA",345,"ORD","4-8pm","Sat","May",160,-3,"No"
605,"AA",363,"ORD","4-8pm","Sat","May",155,-3,"No"
606,"AA",413,"MIA","4-8am","Sat","May",185,-2,"No"
609,"AA",707,"DFW","4-8am","Sat","May",230,10,"No"
610,"AA",709,"DFW","4-8am","Sat","May",235,-8,"No"
618,"AA",763,"DFW","4-8pm","Sat","May",250,-4,"No"
619,"AA",785,"DFW","4-8pm","Sat","May",240,0,"No"
620,"AA",787,"DFW","4-8pm","Sat","May",240,30,"No"
622,"AA",1559,"MIA","4-8pm","Sat","May",195,-4,"No"
623,"AA",1685,"MIA","4-8am","Sat","May",175,0,"No"
627,"AA",2011,"MIA","4-8pm","Sat","May",185,-10,"No"
630,"AA",2223,"STL","4-8pm","Sat","May",175,-10,"No"
631,"AA",2255,"MIA","4-8am","Sat","May",175,-3,"No"
632,"AA",301,"ORD","4-8am","Sun","May",140,-1,"No"
633,"AA",305,"ORD","4-8am","Sun","May",145,-1,"No"
643,"AA",341,"ORD","4-8pm","Sun","May",160,-5,"No"
644,"AA",345,"ORD","4-8pm","Sun","May",160,-6,"No"
645,"AA",347,"ORD","4-8pm","Sun","May",155,-5,"No"
646,"AA",363,"ORD","4-8pm","Sun","May",155,-10,"No"
648,"AA",413,"MIA","4-8am","Sun","May",185,-4,"No"
651,"AA",707,"DFW","4-8am","Sun","May",230,-9,"No"
652,"AA",709,"DFW","4-8am","Sun","May",235,-9,"No"
661,"AA",763,"DFW","4-8pm","Sun","May",250,-6,"No"
662,"AA",785,"DFW","4-8pm","Sun","May",240,0,"No"
663,"AA",787,"DFW","4-8pm","Sun","May",240,-3,"No"
665,"AA",1551,"BNA","4-8pm","Sun","May",150,35,"Yes"
666,"AA",1559,"MIA","4-8pm","Sun","May",195,-6,"No"
667,"AA",1685,"MIA","4-8am","Sun","May",175,-1,"No"
672,"AA",2011,"MIA","4-8pm","Sun","May",185,3,"No"
676,"AA",2223,"STL","4-8pm","Sun","May",175,-7,"No"
677,"AA",2255,"MIA","4-8am","Sun","May",175,-9,"No"
678,"AA",301,"ORD","4-8am","Mon","May",140,-4,"No"
679,"AA",303,"ORD","4-8am","Mon","May",145,-3,"No"
680,"AA",305,"ORD","4-8am","Mon","May",145,-3,"No"
690,"AA",341,"ORD","4-8pm","Mon","May",160,-7,"No"
691,"AA",345,"ORD","4-8pm","Mon","May",160,-5,"No"
692,"AA",347,"ORD","4-8pm","Mon","May",155,0,"No"
693,"AA",363,"ORD","4-8pm","Mon","May",155,-5,"No"
695,"AA",413,"MIA","4-8am","Mon","May",185,-3,"No"
698,"AA",701,"DFW","4-8am","Mon","May",225,-12,"No"
699,"AA",707,"DFW","4-8am","Mon","May",230,17,"No"
700,"AA",709,"DFW","4-8am","Mon","May",235,-4,"No"
710,"AA",763,"DFW","4-8pm","Mon","May",250,-8,"No"
711,"AA",785,"DFW","4-8pm","Mon","May",240,-3,"No"
712,"AA",787,"DFW","4-8pm","Mon","May",240,-3,"No"
715,"AA",1551,"BNA","4-8pm","Mon","May",150,-3,"No"
716,"AA",1559,"MIA","4-8pm","Mon","May",195,-6,"No"
717,"AA",1685,"MIA","4-8am","Mon","May",175,0,"No"
722,"AA",2011,"MIA","4-8pm","Mon","May",185,-7,"No"
726,"AA",2223,"STL","4-8pm","Mon","May",175,-6,"No"
727,"AA",2255,"MIA","4-8am","Mon","May",175,28,"No"
728,"AA",301,"ORD","4-8am","Tue","May",140,-8,"No"
729,"AA",303,"ORD","4-8am","Tue","May",145,-4,"No"
730,"AA",305,"ORD","4-8am","Tue","May",145,-7,"No"
740,"AA",341,"ORD","4-8pm","Tue","May",160,0,"No"
741,"AA",345,"ORD","4-8pm","Tue","May",160,-3,"No"
742,"AA",347,"ORD","4-8pm","Tue","May",155,33,"Yes"
743,"AA",363,"ORD","4-8pm","Tue","May",155,0,"No"
745,"AA",413,"MIA","4-8am","Tue","May",185,0,"No"
748,"AA",701,"DFW","4-8am","Tue","May",225,-6,"No"
749,"AA",707,"DFW","4-8am","Tue","May",230,-7,"No"
750,"AA",709,"DFW","4-8am","Tue","May",235,-7,"No"
760,"AA",763,"DFW","4-8pm","Tue","May",250,0,"No"
761,"AA",785,"DFW","4-8pm","Tue","May",240,22,"No"
762,"AA",787,"DFW","4-8pm","Tue","May",240,25,"No"
765,"AA",1551,"BNA","4-8pm","Tue","May",150,78,"Yes"
766,"AA",1559,"MIA","4-8pm","Tue","May",195,-4,"No"
767,"AA",1685,"MIA","4-8am","Tue","May",175,-8,"No"
772,"AA",2011,"MIA","4-8pm","Tue","May",185,8,"No"
776,"AA",2223,"STL","4-8pm","Tue","May",175,-11,"No"
777,"AA",2255,"MIA","4-8am","Tue","May",175,-8,"No"
778,"AA",301,"ORD","4-8am","Wed","May",140,0,"No"
779,"AA",303,"ORD","4-8am","Wed","May",145,-5,"No"
780,"AA",305,"ORD","4-8am","Wed","May",145,-7,"No"
790,"AA",341,"ORD","4-8pm","Wed","May",160,-6,"No"
791,"AA",345,"ORD","4-8pm","Wed","May",160,-3,"No"
792,"AA",347,"ORD","4-8pm","Wed","May",155,15,"No"
793,"AA",363,"ORD","4-8pm","Wed","May",155,0,"No"
795,"AA",413,"MIA","4-8am","Wed","May",185,-1,"No"
798,"AA",701,"DFW","4-8am","Wed","May",225,-8,"No"
799,"AA",707,"DFW","4-8am","Wed","May",230,0,"No"
800,"AA",709,"DFW","4-8am","Wed","May",235,-7,"No"
810,"AA",763,"DFW","4-8pm","Wed","May",250,5,"No"
811,"AA",785,"DFW","4-8pm","Wed","May",240,-6,"No"
812,"AA",787,"DFW","4-8pm","Wed","May",240,56,"Yes"
815,"AA",1551,"BNA","4-8pm","Wed","May",150,-3,"No"
816,"AA",1559,"MIA","4-8pm","Wed","May",195,75,"Yes"
817,"AA",1685,"MIA","4-8am","Wed","May",175,-4,"No"
822,"AA",2011,"MIA","4-8pm","Wed","May",185,64,"Yes"
826,"AA",2223,"STL","4-8pm","Wed","May",175,-4,"No"
827,"AA",2255,"MIA","4-8am","Wed","May",175,-7,"No"
828,"AA",301,"ORD","4-8am","Thu","May",140,-6,"No"
829,"AA",303,"ORD","4-8am","Thu","May",145,-7,"No"
830,"AA",305,"ORD","4-8am","Thu","May",145,-7,"No"
840,"AA",341,"ORD","4-8pm","Thu","May",160,0,"No"
841,"AA",345,"ORD","4-8pm","Thu","May",160,14,"No"
842,"AA",347,"ORD","4-8pm","Thu","May",155,129,"Yes"
843,"AA",363,"ORD","4-8pm","Thu","May",155,0,"No"
845,"AA",413,"MIA","4-8am","Thu","May",185,-8,"No"
848,"AA",701,"DFW","4-8am","Thu","May",225,-9,"No"
849,"AA",707,"DFW","4-8am","Thu","May",230,-5,"No"
850,"AA",709,"DFW","4-8am","Thu","May",235,-3,"No"
860,"AA",763,"DFW","4-8pm","Thu","May",250,25,"No"
861,"AA",785,"DFW","4-8pm","Thu","May",240,0,"No"
862,"AA",787,"DFW","4-8pm","Thu","May",240,112,"Yes"
865,"AA",1551,"BNA","4-8pm","Thu","May",150,-2,"No"
866,"AA",1559,"MIA","4-8pm","Thu","May",195,200,"Yes"
867,"AA",1685,"MIA","4-8am","Thu","May",175,-6,"No"
872,"AA",2011,"MIA","4-8pm","Thu","May",185,92,"Yes"
876,"AA",2223,"STL","4-8pm","Thu","May",175,59,"Yes"
877,"AA",2255,"MIA","4-8am","Thu","May",175,0,"No"
878,"AA",301,"ORD","4-8am","Fri","May",140,-6,"No"
879,"AA",303,"ORD","4-8am","Fri","May",145,-3,"No"
880,"AA",305,"ORD","4-8am","Fri","May",145,0,"No"
890,"AA",341,"ORD","4-8pm","Fri","May",160,-4,"No"
891,"AA",345,"ORD","4-8pm","Fri","May",160,-7,"No"
892,"AA",347,"ORD","4-8pm","Fri","May",155,-4,"No"
893,"AA",363,"ORD","4-8pm","Fri","May",155,-6,"No"
895,"AA",413,"MIA","4-8am","Fri","May",185,-7,"No"
898,"AA",701,"DFW","4-8am","Fri","May",225,-1,"No"
899,"AA",707,"DFW","4-8am","Fri","May",230,-8,"No"
900,"AA",709,"DFW","4-8am","Fri","May",235,-3,"No"
910,"AA",763,"DFW","4-8pm","Fri","May",250,9,"No"
911,"AA",785,"DFW","4-8pm","Fri","May",240,6,"No"
912,"AA",787,"DFW","4-8pm","Fri","May",240,-7,"No"
915,"AA",1551,"BNA","4-8pm","Fri","May",150,-3,"No"
916,"AA",1559,"MIA","4-8pm","Fri","May",195,-3,"No"
917,"AA",1685,"MIA","4-8am","Fri","May",175,1,"No"
922,"AA",2011,"MIA","4-8pm","Fri","May",185,-6,"No"
926,"AA",2223,"STL","4-8pm","Fri","May",175,-5,"No"
927,"AA",2255,"MIA","4-8am","Fri","May",175,-1,"No"
928,"AA",301,"ORD","4-8am","Sat","May",140,-7,"No"
929,"AA",303,"ORD","4-8am","Sat","May",145,-8,"No"
930,"AA",305,"ORD","4-8am","Sat","May",145,-5,"No"
937,"AA",345,"ORD","4-8pm","Sat","May",160,-7,"No"
938,"AA",363,"ORD","4-8pm","Sat","May",155,-7,"No"
939,"AA",413,"MIA","4-8am","Sat","May",185,-10,"No"
942,"AA",707,"DFW","4-8am","Sat","May",230,-3,"No"
943,"AA",709,"DFW","4-8am","Sat","May",235,0,"No"
951,"AA",763,"DFW","4-8pm","Sat","May",250,-1,"No"
952,"AA",785,"DFW","4-8pm","Sat","May",240,-5,"No"
953,"AA",787,"DFW","4-8pm","Sat","May",240,-13,"No"
955,"AA",1559,"MIA","4-8pm","Sat","May",195,-2,"No"
956,"AA",1685,"MIA","4-8am","Sat","May",175,2,"No"
960,"AA",2011,"MIA","4-8pm","Sat","May",185,-9,"No"
963,"AA",2223,"STL","4-8pm","Sat","May",175,-9,"No"
964,"AA",2255,"MIA","4-8am","Sat","May",175,5,"No"
965,"AA",301,"ORD","4-8am","Sun","May",140,-2,"No"
966,"AA",305,"ORD","4-8am","Sun","May",145,5,"No"
976,"AA",341,"ORD","4-8pm","Sun","May",160,-7,"No"
